City,lat,lon,temp,wind_speed,humidity,cloudiness
mandalgovi,45.76,106.27,248.168,4.32,53.0,0.0
bluff,-23.58,149.07,302.518,4.32,49.0,0.0
ponta do sol,-20.63,-46.0,295.643,1.22,80.0,36.0
hilo,19.71,-155.08,298.75,5.1,62.0,90.0
avarua,-21.21,-159.78,303.15,4.1,66.0,75.0
barrow,-38.31,-60.23,295.243,2.12,78.0,88.0
cabo san lucas,22.89,-109.91,292.21,4.1,82.0,90.0
esso,55.93,158.7,251.643,1.22,52.0,20.0
lere,9.66,14.23,292.168,3.99,35.0,0.0
takoradi,4.89,-1.75,300.393,3.42,100.0,44.0
albany,42.65,-73.75,265.74,1.5,61.0,90.0
jalu,29.03,21.55,280.693,5.09,55.0,0.0
kaitangata,-46.28,169.85,289.368,3.24,90.0,36.0
tawau,4.26,117.89,300.15,1.5,83.0,75.0
lebu,8.96,38.73,274.368,1.12,65.0,0.0
sechura,-5.56,-80.82,297.868,4.97,75.0,76.0
tuktoyaktuk,69.44,-133.03,251.15,7.2,76.0,75.0
kodinar,20.79,70.7,289.893,4.82,57.0,0.0
torbay,47.66,-52.73,268.15,6.2,79.0,90.0
olden,61.84,6.81,266.943,0.72,96.0,88.0
sawakin,19.1,37.33,296.618,4.52,87.0,100.0
salalah,17.01,54.1,296.15,2.1,73.0,20.0
new norfolk,-42.78,147.06,299.15,5.7,50.0,0.0
husavik,50.56,-96.99,259.443,2.37,76.0,56.0
port-gentil,-0.72,8.78,299.743,1.47,97.0,56.0
atuona,-9.8,-139.03,300.893,6.97,99.0,48.0
lasa,34.92,32.53,288.27,9.3,87.0,75.0
codrington,-28.95,153.24,303.14,2.6,42.0,0.0
talnakh,69.49,88.39,259.393,8.97,83.0,80.0
kapaa,22.08,-159.32,300.43,6.2,62.0,1.0
hermanus,-34.42,19.24,283.768,1.14,96.0,0.0
whitianga,-36.83,175.7,291.018,2.52,100.0,12.0
bambous virieux,-20.34,57.76,299.15,2.6,83.0,40.0
saldanha,41.42,-6.55,269.543,1.67,89.0,32.0
faanui,-16.48,-151.75,301.093,7.57,100.0,76.0
aracaju,-10.92,-37.08,300.15,5.1,69.0,40.0
pevek,69.7,170.27,247.343,5.57,100.0,64.0
mangrol,25.33,76.51,276.893,1.34,72.0,0.0
punta arenas,-53.16,-70.91,287.15,5.7,58.0,75.0
ribeira grande,38.52,-28.7,289.668,2.19,97.0,76.0
kodiak,39.95,-94.76,271.67,3.1,100.0,90.0
meadow lake,54.13,-108.44,269.15,7.2,79.0,20.0
murgab,37.5,61.97,281.15,5.1,70.0,92.0
khani,41.96,42.96,282.15,8.2,42.0,0.0
luderitz,-26.65,15.16,290.943,9.37,64.0,0.0
bredasdorp,-34.53,20.04,289.15,2.1,82.0,56.0
mar del plata,-46.43,-67.52,298.768,6.32,21.0,20.0
jamestown,-33.21,138.6,306.393,1.97,46.0,32.0
grootfontein,-19.56,18.1,290.793,2.49,96.0,80.0
brokopondo,5.06,-54.98,298.15,2.1,88.0,40.0
bela,26.23,66.31,277.893,0.89,86.0,0.0
lorengau,-2.02,147.27,301.893,5.64,98.0,76.0
komsomolskiy,67.55,63.78,261.843,5.27,80.0,80.0
vaini,15.34,74.49,288.15,2.04,58.0,0.0
taszar,46.37,17.91,273.093,5.52,66.0,0.0
mataura,-46.19,168.86,289.393,3.04,80.0,48.0
hobart,-42.88,147.33,299.15,5.7,50.0,0.0
makakilo city,21.35,-158.09,299.18,4.6,52.0,1.0
cape town,-33.93,18.42,289.15,1.0,82.0,0.0
sulangan,11.14,123.72,299.668,9.44,100.0,8.0
san quintin,17.54,120.52,292.093,1.57,71.0,0.0
sept-iles,50.2,-66.38,261.15,1.0,66.0,90.0
east london,-33.02,27.91,295.918,0.94,100.0,48.0
busselton,-33.64,115.35,290.393,7.74,100.0,0.0
saint-francois,46.42,3.91,275.15,1.49,93.0,0.0
auki,12.18,6.51,287.943,1.72,43.0,0.0
lagoa,37.14,-8.45,280.15,2.6,75.0,0.0
saint-philippe,45.36,-73.48,261.49,3.1,72.0,75.0
lamu,0.57,122.3,295.118,1.17,100.0,92.0
kargasok,59.06,80.87,264.843,3.49,75.0,76.0
leningradskiy,69.38,178.42,251.268,7.64,93.0,36.0
ushuaia,-54.81,-68.31,285.15,3.1,71.0,75.0
ormara,25.21,64.64,291.393,2.72,99.0,0.0
byron bay,-28.65,153.62,302.66,5.7,70.0,40.0
victoria,5.28,115.24,301.15,0.5,88.0,75.0
clyde river,70.47,-68.59,240.15,3.1,67.0,90.0
iqaluit,63.75,-68.52,254.15,4.6,70.0,90.0
avera,33.19,-82.53,280.81,1.22,95.0,90.0
pisco,-13.71,-76.2,295.15,6.7,88.0,0.0
sarakhs,36.54,61.16,280.15,2.1,70.0,44.0
ayia galini,35.1,24.68,283.49,2.6,100.0,90.0
thompson,55.74,-97.86,252.15,2.6,76.0,90.0
butaritari,3.07,172.79,301.418,6.67,100.0,80.0
coahuayana,18.62,-100.35,298.443,1.02,34.0,20.0
berlevag,70.86,29.09,270.043,2.97,100.0,20.0
jianhu,29.93,120.57,280.15,4.0,100.0,75.0
saint anthony,43.97,-111.68,262.37,1.5,70.0,1.0
mahebourg,-20.41,57.7,299.15,2.6,83.0,40.0
nikolskoye,59.7,30.79,273.15,3.0,94.0,90.0
rikitea,-23.12,-134.97,300.018,4.99,98.0,48.0
vydrino,51.46,104.64,255.793,3.04,59.0,44.0
cabanas,43.42,-8.16,276.8,1.5,100.0,90.0
yellowknife,62.45,-114.38,244.15,3.1,75.0,40.0
bitung,1.44,125.19,297.15,1.0,94.0,40.0
grafton,-29.69,152.93,301.15,3.6,54.0,0.0
longyearbyen,78.22,15.63,258.15,2.6,60.0,20.0
saskylakh,71.97,114.09,224.743,3.47,0.0,0.0
